City,State,Year Built,Bathrooms,Bedrooms,Square Footage,List Price,House Type,City_freq,House Age,House Size
Herndon,VA,2005.0,4,4,1674.0,694000.0,Townhouse,23,20.0,Medium
Severna Park,MD,1961.0,3,5,1608.0,725000.0,Other,16,64.0,Medium
Baltimore,MD,1937.0,1,3,1322.0,234979.0,Townhouse,497,88.0,Medium
Washington,DC,1908.0,2,3,1312.0,900000.0,Townhouse,188,117.0,Medium
Catonsville,MD,1946.0,2,4,1140.0,290000.0,Townhouse,5,79.0,Small
Pasadena,MD,1982.0,4,3,1240.0,384900.0,Townhouse,22,43.0,Small
Charles Town,WV,1986.0,3,4,1942.0,570000.0,Unknown,12,39.0,Medium
Alexandria,VA,1964.0,2,6,1096.0,620000.0,Other,307,61.0,Small
Capitol Heights,MD,1972.0,2,4,1240.0,360000.0,Townhouse,20,53.0,Small
Baltimore,MD,1977.0,3,3,1760.0,399000.0,Single-Family Home,497,48.0,Medium
Harpers Ferry,WV,1986.0,1,2,1942.0,115000.0,Unknown,16,39.0,Medium
Baltimore,MD,1942.0,2,2,1280.0,435000.0,Townhouse,497,83.0,Small
Towson,MD,1957.0,2,3,1560.0,399900.0,Townhouse,10,68.0,Medium
Edgewater,MD,1986.0,2,3,1942.0,299900.0,Unknown,12,39.0,Medium
Lusby,MD,2003.0,3,3,1460.0,350000.0,Townhouse,9,22.0,Medium
Odenton,MD,1994.0,2,2,1036.0,308000.0,Townhouse,6,31.0,Small
Leesburg,VA,2005.0,2,3,1475.0,475000.0,Townhouse,78,20.0,Medium
Kensington,MD,1898.0,2,3,1159.0,899000.0,Townhouse,3,127.0,Small
Riverdale,MD,1961.0,3,4,1272.0,550000.0,Townhouse,4,64.0,Small
Alexandria,VA,1963.0,4,4,2402.0,964500.0,Single-Family Home,307,62.0,Medium
Falls Church,VA,1945.0,3,4,1405.0,825000.0,Townhouse,76,80.0,Medium
Washington,DC,2005.0,1,1,1120.0,625000.0,Other,188,20.0,Small
Charles Town,WV,2022.0,4,5,1942.0,665000.0,Unknown,12,3.0,Medium
Arlington,VA,1989.0,2,2,980.0,535000.0,Apartment/Condo,262,36.0,Small
Washington,DC,1962.0,1,1,432.0,369900.0,Apartment/Condo,188,63.0,Small
Severn,MD,1973.0,2,4,1612.0,490000.0,Townhouse,12,52.0,Medium
Fredericksburg,VA,1974.0,3,3,1838.0,475000.0,Single-Family Home,26,51.0,Medium
Bethesda,MD,1936.0,3,3,1990.0,1456280.0000000007,Single-Family Home,96,89.0,Medium
Waldorf,MD,1977.0,4,4,1802.0,489999.0,Single-Family Home,112,48.0,Medium
Ellicott City,MD,2009.0,3,3,2200.0,655000.0,Single-Family Home,58,16.0,Medium
Centreville,VA,1971.0,3,5,1534.0,715000.0,Other,30,54.0,Medium
Herndon,VA,1983.0,3,3,1660.0,821900.0,Townhouse,23,42.0,Medium
Sparrows Point,MD,2000.0,4,4,1920.0,545000.0,Single-Family Home,4,25.0,Medium
Alexandria,VA,1986.0,1,1,437.0,285000.0,Apartment/Condo,307,39.0,Small
Dunn Loring,VA,1997.0,5,5,3524.0,1299999.0,Single-Family Home,2,28.0,Large
Rockville,MD,1971.0,1,1,870.0,150000.0,Apartment/Condo,84,54.0,Small
Vienna,VA,1956.0,3,5,1684.0,985000.0,Other,79,69.0,Medium
Ashburn,VA,2001.0,4,3,2430.0,715000.0,Single-Family Home,104,24.0,Medium
Baltimore,MD,1920.0,3,4,1443.0,363000.0,Townhouse,497,105.0,Medium
Gaithersburg,MD,2002.0,4,4,1520.0,875000.0,Townhouse,94,23.0,Medium
Silver Spring,MD,1948.0,4,4,1548.0,949000.0,Townhouse,156,77.0,Medium
Edgewater,MD,1986.0,1,1,2.0,300000.0,Apartment/Condo,12,39.0,Medium
Alexandria,VA,2007.0,1,1,756.0,499000.0,Apartment/Condo,307,18.0,Small
Broad Run,VA,1977.0,5,6,1160.0,1399000.0,Other,2,48.0,Small
Washington,DC,2018.0,4,3,1303.0,429997.0,Townhouse,188,7.0,Medium
Gaithersburg,MD,2021.0,5,4,2121.0,860000.0,Single-Family Home,94,4.0,Medium
Baltimore,MD,1952.0,3,6,3108.0,640000.0,Single-Family Home,497,73.0,Large
Baltimore,MD,1958.0,3,5,2042.0,735000.0,Single-Family Home,497,67.0,Medium
Baltimore,MD,1985.0,2,4,1804.0,385000.0,Single-Family Home,497,40.0,Medium
Alexandria,VA,1983.0,2,1,1122.0,619000.0,Other,307,42.0,Small
Warrenton,VA,1996.0,2,2,921.0,365000.0,Apartment/Condo,16,29.0,Small
Silver Spring,MD,1987.0,3,4,2612.0,1190000.0,Single-Family Home,156,38.0,Large
Ellicott City,MD,2023.0,3,3,1942.0,749900.0,Unknown,58,2.0,Medium
Fort Washington,MD,1984.0,2,3,1092.0,529000.0,Townhouse,9,41.0,Small
Arnold,MD,1992.0,3,4,1974.0,699900.0,Single-Family Home,7,33.0,Medium
Fairfax,VA,1970.0,2,3,1593.0,796875.0,Townhouse,110,55.0,Medium
Lutherville Timonium,MD,1985.0,4,3,1914.0,610000.0,Single-Family Home,21,40.0,Medium
Essex,MD,1948.0,1,3,1216.0,240000.0,Townhouse,14,77.0,Small
Falls Church,VA,2017.0,4,4,1769.0,889900.0,Single-Family Home,76,8.0,Medium
Oakton,VA,1976.0,3,3,1328.0,575000.0,Townhouse,7,49.0,Medium
Reston,VA,1973.0,1,3,1004.0,317000.0,Townhouse,47,52.0,Small
Woodbridge,VA,1997.0,4,5,1760.0,749099.0,Single-Family Home,156,28.0,Medium
Hyattsville,MD,1962.0,3,5,1457.0,480000.0,Other,90,63.0,Medium
Vienna,VA,1969.0,3,4,1457.0,1200000.0,Townhouse,79,56.0,Medium
Washington,DC,2004.0,3,4,1408.0,769000.0,Townhouse,188,21.0,Medium
Oxon Hill,MD,2023.0,2,2,1393.0,562000.0,Townhouse,7,2.0,Medium
Nokesville,VA,1901.0,5,4,3288.0,1125000.0,Single-Family Home,3,124.0,Large
Stafford,VA,2014.0,4,3,1794.0,529000.0,Single-Family Home,39,11.0,Medium
Woodbridge,VA,2022.0,3,3,1645.0,485000.0,Townhouse,156,3.0,Medium
Saint Leonard,MD,1980.0,1,3,1008.0,390000.0,Townhouse,4,45.0,Small
Annapolis,MD,2007.0,2,3,1732.0,520000.0,Single-Family Home,44,18.0,Medium
Haymarket,VA,1978.0,4,4,1566.0,849000.0,Townhouse,41,47.0,Medium
Alexandria,VA,1964.0,2,2,1199.0,358000.0,Townhouse,307,61.0,Small
Chantilly,VA,2001.0,3,3,2234.0,710000.0,Single-Family Home,39,24.0,Medium
Bethesda,MD,1990.0,1,1,618.0,320000.0,Apartment/Condo,96,35.0,Small
Germantown,MD,2021.0,5,4,2.0,635000.0,Other,16,4.0,Medium
White Plains,MD,2003.0,3,4,2272.0,524999.0,Single-Family Home,5,22.0,Medium
Baltimore,MD,1920.0,2,3,1338.0,78000.0,Townhouse,497,105.0,Medium
Baltimore,MD,1940.0,2,2,2.0,90000.0,Apartment/Condo,497,85.0,Medium
Baltimore,MD,1989.0,2,3,1296.0,427500.0,Townhouse,497,36.0,Medium
Baltimore,MD,1952.0,2,5,1200.0,340000.0,Other,497,73.0,Small
Lothian,MD,2023.0,2,3,1942.0,175000.0,Unknown,4,2.0,Medium
Rockville,MD,1964.0,1,1,844.0,199000.0,Apartment/Condo,84,61.0,Small
Washington,DC,2009.0,1,2,882.0,650000.0,Apartment/Condo,188,16.0,Small
Mclean,VA,1988.0,3,4,2360.0,1358000.0,Single-Family Home,148,37.0,Medium
Washington,DC,2015.0,2,2,744.0,650000.0,Apartment/Condo,188,10.0,Small
Glen Burnie,MD,2017.0,3,4,2524.0,660000.0,Single-Family Home,28,8.0,Large
Germantown,MD,1999.0,4,3,1636.0,499000.0,Townhouse,16,26.0,Medium
Severn,MD,2018.0,4,3,1816.0,455000.0,Single-Family Home,12,7.0,Medium
Baltimore,MD,1986.0,1,3,1024.0,179900.0,Townhouse,497,39.0,Small
Baltimore,MD,1920.0,2,2,1140.0,45000.0,Townhouse,497,105.0,Small
Baltimore,MD,1969.0,3,3,1534.0,499999.0,Townhouse,497,56.0,Medium
Baltimore,MD,2011.0,3,3,2524.0,455000.0,Single-Family Home,497,14.0,Large
La Plata,MD,1963.0,2,4,1120.0,425000.0,Townhouse,16,62.0,Small
Manassas,VA,2012.0,2,2,1441.0,395000.0,Townhouse,97,13.0,Medium
Reston,VA,1995.0,4,4,2460.0,999999.0,Single-Family Home,47,30.0,Medium
Riverdale Park,MD,1951.0,2,3,648.0,350000.0,Other,1,74.0,Small
Herndon,VA,1969.0,3,5,3200.0,875000.0,Single-Family Home,23,56.0,Large
Annapolis,MD,2007.0,3,2,1921.0,1295000.0,Other,44,18.0,Medium
Haymarket,VA,1986.0,4,4,1942.0,879900.0,Unknown,41,39.0,Medium
Manassas,VA,1964.0,2,4,10010.0,550000.0,Single-Family Home,97,61.0,Large
Woodstock,MD,1947.0,2,3,1490.0,499000.0,Townhouse,3,78.0,Medium
Crofton,MD,1986.0,3,3,1942.0,570000.0,Unknown,11,39.0,Medium
Reston,VA,1972.0,2,2,1073.0,330000.0,Townhouse,47,53.0,Small
Alexandria,VA,1965.0,1,2,849.0,194750.0,Apartment/Condo,307,60.0,Small
Warrenton,VA,1960.0,3,6,2850.0,1200000.0,Single-Family Home,16,65.0,Large
King George,VA,1999.0,5,5,4200.0,585000.0,Single-Family Home,13,26.0,Large
Fort Howard,MD,1989.0,3,2,1288.0,408000.0,Townhouse,2,36.0,Medium
Lothian,MD,1999.0,2,3,840.0,110000.0,Other,4,26.0,Small
Reston,VA,1986.0,3,3,2100.0,550000.0,Single-Family Home,47,39.0,Medium
