City,State,Year Built,Bathrooms,Bedrooms,Square Footage,List Price,House Type,City_freq,House Age,House Size
Woodbridge,VA,1991.0,2,2,1361.0,369900.0,Townhouse,156,34.0,Medium
Gainesville,VA,2004.0,3,4,3974.0,749999.0,Single-Family Home,37,21.0,Large
Arlington,VA,1937.0,2,4,1800.0,695000.0,Single-Family Home,262,88.0,Medium
Waldorf,MD,1988.0,2,3,1740.0,365000.0,Single-Family Home,112,37.0,Medium
Accokeek,MD,1961.0,2,4,2250.0,350000.0,Single-Family Home,26,64.0,Medium
Fairfax,VA,1980.0,2,3,1812.0,549000.0,Single-Family Home,110,45.0,Medium
Silver Spring,MD,1951.0,2,6,1410.0,525000.0,Other,156,74.0,Medium
Columbia,MD,1981.0,3,3,1760.0,379400.0,Single-Family Home,50,44.0,Medium
Manassas,VA,2020.0,3,4,3405.0,899900.0,Single-Family Home,97,5.0,Large
Aldie,VA,2015.0,3,5,3493.0,925000.0,Single-Family Home,39,10.0,Large
Waldorf,MD,2019.0,4,5,3766.0,589900.0,Single-Family Home,112,6.0,Large
Hyattsville,MD,1942.0,2,4,1624.0,445000.0,Townhouse,90,83.0,Medium
Laurel,MD,2006.0,3,5,4294.0,700000.0,Single-Family Home,65,19.0,Large
Fairfax,VA,2022.0,2,2,1075.0,529900.0,Townhouse,110,3.0,Small
District Heights,MD,1993.0,3,3,1240.0,349000.0,Townhouse,22,32.0,Small
Upper Marlboro,MD,2016.0,3,3,1600.0,480000.0,Townhouse,124,9.0,Medium
Rockville,MD,1957.0,2,4,1556.0,450000.0,Townhouse,84,68.0,Medium
Arlington,VA,1974.0,1,1,1110.0,495000.0,Other,262,51.0,Small
Bowie,MD,1963.0,2,4,1865.0,439000.0,Single-Family Home,110,62.0,Medium
Waldorf,MD,2005.0,4,4,3544.0,559900.0,Single-Family Home,112,20.0,Large
Waldorf,MD,1995.0,3,5,3466.0,625000.0,Single-Family Home,112,30.0,Large
Fairfax,VA,2023.0,3,4,3164.0,1099990.0,Single-Family Home,110,2.0,Large
Aldie,VA,2020.0,5,6,6079.0,1400000.0,Single-Family Home,39,5.0,Large
Alexandria,VA,1996.0,3,3,1317.0,400000.0,Townhouse,307,29.0,Medium
Potomac,MD,1961.0,2,4,3078.0,1095000.0,Single-Family Home,36,64.0,Large
Alexandria,VA,1982.0,1,1,711.0,405000.0,Apartment/Condo,307,43.0,Small
Hyattsville,MD,1975.0,3,4,1760.0,339900.0,Single-Family Home,90,50.0,Medium
Rockville,MD,1984.0,1,3,1450.0,395000.0,Townhouse,84,41.0,Medium
Arlington,VA,2007.0,1,1,703.0,469999.0,Apartment/Condo,262,18.0,Small
Upper Marlboro,MD,2023.0,2,3,2121.0,469990.0,Single-Family Home,124,2.0,Medium
Bowie,MD,2006.0,3,5,2880.0,715000.0,Single-Family Home,110,19.0,Large
Haymarket,VA,2019.0,3,3,2133.0,539000.0,Single-Family Home,41,6.0,Medium
District Heights,MD,1993.0,3,3,1240.0,349900.0,Townhouse,22,32.0,Small
Waldorf,MD,1990.0,2,5,2538.0,469000.0,Single-Family Home,112,35.0,Large
Gaithersburg,MD,2020.0,2,2,1506.0,649000.0,Townhouse,94,5.0,Medium
Waldorf,MD,1976.0,2,3,2128.0,415000.0,Single-Family Home,112,49.0,Medium
District Heights,MD,1951.0,2,4,910.0,339900.0,Other,22,74.0,Small
Aldie,VA,2020.0,5,6,6079.0,1400000.0,Single-Family Home,39,5.0,Large
Arlington,VA,1983.0,1,1,1058.0,619500.0,Other,262,42.0,Small
Annandale,VA,1959.0,3,4,1556.0,625000.0,Townhouse,46,66.0,Medium
Brandywine,MD,2018.0,4,4,2930.0,749000.0,Single-Family Home,44,7.0,Large
Alexandria,VA,1969.0,2,4,1240.0,655000.0,Townhouse,307,56.0,Small
Centreville,VA,1987.0,3,3,1360.0,459900.0,Townhouse,30,38.0,Medium
Manassas,VA,2000.0,2,2,1708.0,395000.0,Other,97,25.0,Medium
Alexandria,VA,1976.0,3,3,3354.0,974000.0,Single-Family Home,307,49.0,Large
Woodbridge,VA,1997.0,3,5,5522.0,675000.0,Single-Family Home,156,28.0,Large
Bethesda,MD,1960.0,1,1,1031.0,310000.0,Other,96,65.0,Small
Silver Spring,MD,1952.0,2,5,1825.0,799950.0,Single-Family Home,156,73.0,Medium
Silver Spring,MD,1930.0,1,3,1489.0,650000.0,Townhouse,156,95.0,Medium
Woodbridge,VA,2007.0,2,2,1795.0,470000.0,Other,156,18.0,Medium
Bristow,VA,2000.0,3,4,2517.0,699900.0,Single-Family Home,16,25.0,Medium
Silver Spring,MD,2006.0,1,1,823.0,365000.0,Apartment/Condo,156,19.0,Small
Waldorf,MD,1985.0,2,4,2128.0,459900.0,Single-Family Home,112,40.0,Medium
Waldorf,MD,2003.0,3,5,3165.0,529000.0,Single-Family Home,112,22.0,Large
Gaithersburg,MD,1962.0,3,5,3480.0,720000.0,Single-Family Home,94,63.0,Large
Olney,MD,1990.0,3,5,3239.0,785000.0,Single-Family Home,15,35.0,Large
Gaithersburg,MD,2004.0,4,5,5781.0,1077700.0,Single-Family Home,94,21.0,Large
Ellicott City,MD,1990.0,3,3,2030.0,575000.0,Single-Family Home,58,35.0,Medium
Gaithersburg,MD,1984.0,2,3,1444.0,349900.0,Townhouse,94,41.0,Medium
Upper Marlboro,MD,2018.0,2,3,2707.0,520000.0,Single-Family Home,124,7.0,Large
Upper Marlboro,MD,1970.0,2,4,1350.0,409000.0,Townhouse,124,55.0,Medium
Upper Marlboro,MD,2001.0,2,2,1310.0,315000.0,Townhouse,124,24.0,Medium
Suitland,MD,1968.0,3,4,1205.0,350000.0,Townhouse,15,57.0,Small
Silver Spring,MD,1913.0,1,1,3358.0,300000.0,Other,156,112.0,Large
Silver Spring,MD,1946.0,2,5,2550.0,719000.0,Single-Family Home,156,79.0,Large
Silver Spring,MD,1987.0,3,4,1970.0,449999.0,Single-Family Home,156,38.0,Medium
Silver Spring,MD,1950.0,2,4,2121.0,849000.0,Single-Family Home,156,75.0,Medium
Silver Spring,MD,1960.0,2,4,1806.0,510000.0,Single-Family Home,156,65.0,Medium
Silver Spring,MD,1951.0,2,4,1152.0,535000.0,Townhouse,156,74.0,Small
Rockville,MD,1966.0,2,5,2520.0,970000.0,Single-Family Home,84,59.0,Medium
Rockville,MD,2002.0,2,2,2210.0,1249000.0,Other,84,23.0,Medium
Hyattsville,MD,1947.0,2,3,1049.0,329500.0,Townhouse,90,78.0,Small
Hyattsville,MD,1952.0,2,3,1080.0,394999.0,Townhouse,90,73.0,Small
Chevy Chase,MD,2022.0,2,2,1430.0,1299900.0,Townhouse,39,3.0,Medium
Chevy Chase,MD,2022.0,2,2,1344.0,1249900.0,Townhouse,39,3.0,Medium
Bowie,MD,1990.0,2,3,1450.0,409900.0,Townhouse,110,35.0,Medium
Bethesda,MD,1958.0,3,4,2412.0,889900.0,Single-Family Home,96,67.0,Medium
Bethesda,MD,1975.0,2,2,1723.0,729900.0,Other,96,50.0,Medium
Arlington,VA,1944.0,2,2,1383.0,525000.0,Townhouse,262,81.0,Medium
Arlington,VA,2003.0,1,1,524.0,354900.0,Apartment/Condo,262,22.0,Small
Ashburn,VA,2000.0,3,3,2520.0,629900.0,Single-Family Home,104,25.0,Medium
Sterling,VA,1998.0,3,4,3046.0,799000.0,Single-Family Home,92,27.0,Large
Annandale,VA,1966.0,3,5,2251.0,824800.0,Single-Family Home,46,59.0,Medium
Alexandria,VA,1930.0,2,3,1376.0,745000.0,Townhouse,307,95.0,Medium
Alexandria,VA,2022.0,1,1,749.0,559900.0,Apartment/Condo,307,3.0,Small
Alexandria,VA,2022.0,1,1,771.0,599900.0,Apartment/Condo,307,3.0,Small
Alexandria,VA,2023.0,1,1,984.0,899900.0,Apartment/Condo,307,2.0,Small
Fairfax,VA,2022.0,3,4,3129.0,1367490.0,Single-Family Home,110,3.0,Large
Chantilly,VA,2015.0,3,4,4082.0,1100000.0,Single-Family Home,39,10.0,Large
Reston,VA,2022.0,3,3,1680.0,999900.0,Townhouse,47,3.0,Medium
Gainesville,VA,2016.0,3,3,2668.0,849900.0,Single-Family Home,37,9.0,Large
Chantilly,VA,1995.0,3,4,3220.0,825000.0,Single-Family Home,39,30.0,Large
Falls Church,VA,1948.0,4,5,3050.0,824700.0,Single-Family Home,76,77.0,Large
Alexandria,VA,2022.0,2,3,2179.0,812140.0,Single-Family Home,307,3.0,Medium
Dumfries,VA,2022.0,4,4,3583.0,810134.0,Single-Family Home,49,3.0,Large
Gainesville,VA,2000.0,3,4,4364.0,799900.0,Single-Family Home,37,25.0,Large
Springfield,VA,1978.0,2,4,2514.0,750000.0,Single-Family Home,52,47.0,Medium
Annandale,VA,1965.0,3,4,2352.0,699900.0,Single-Family Home,46,60.0,Medium
Bristow,VA,1996.0,3,4,3467.0,685000.0,Single-Family Home,16,29.0,Large
Dumfries,VA,2023.0,2,3,2789.0,671990.0,Single-Family Home,49,2.0,Large
Leesburg,VA,2000.0,3,3,2583.0,650000.0,Single-Family Home,78,25.0,Large
Sterling,VA,2023.0,2,3,1940.0,627990.0,Single-Family Home,92,2.0,Medium
Sterling,VA,2023.0,2,3,1825.0,607990.0,Single-Family Home,92,2.0,Medium
Alexandria,VA,1960.0,1,3,1326.0,599900.0,Townhouse,307,65.0,Medium
Dumfries,VA,1981.0,3,5,2289.0,595000.0,Single-Family Home,49,44.0,Medium
Sterling,VA,1963.0,2,4,1965.0,579900.0,Single-Family Home,92,62.0,Medium
Sterling,VA,2023.0,2,2,1575.0,519990.0,Townhouse,92,2.0,Medium
Sterling,VA,2023.0,2,2,1545.0,514990.0,Townhouse,92,2.0,Medium
Sterling,VA,2023.0,2,2,1640.0,514990.0,Townhouse,92,2.0,Medium
Fairfax,VA,2007.0,2,2,1078.0,479000.0,Townhouse,110,18.0,Small
Sterling,VA,2023.0,2,2,1435.0,459990.0,Townhouse,92,2.0,Medium
Woodbridge,VA,1991.0,3,4,1890.0,429900.0,Single-Family Home,156,34.0,Medium
Woodbridge,VA,1970.0,1,4,1548.0,359000.0,Townhouse,156,55.0,Medium
Ashburn,VA,1993.0,3,3,1680.0,535000.0,Townhouse,104,32.0,Medium
Sterling,VA,2023.0,2,3,1940.0,627990.0,Single-Family Home,92,2.0,Medium
Sterling,VA,2023.0,2,3,1825.0,607990.0,Single-Family Home,92,2.0,Medium
Sterling,VA,2023.0,2,2,1640.0,514990.0,Townhouse,92,2.0,Medium
Sterling,VA,2023.0,2,2,1575.0,519990.0,Townhouse,92,2.0,Medium
Sterling,VA,2023.0,2,2,1545.0,514990.0,Townhouse,92,2.0,Medium
Sterling,VA,2023.0,2,2,1435.0,459990.0,Townhouse,92,2.0,Medium
Mclean,VA,1950.0,1,3,1116.0,925000.0,Townhouse,148,75.0,Small
Silver Spring,MD,1959.0,3,3,2076.0,574990.0,Single-Family Home,156,66.0,Medium
Bowie,MD,1935.0,2,3,1490.0,475000.0,Townhouse,110,90.0,Medium
Chantilly,VA,2015.0,3,4,4082.0,1100000.0,Single-Family Home,39,10.0,Large
Waldorf,MD,1935.0,1,2,1850.0,380000.0,Other,112,90.0,Medium
Upper Marlboro,MD,1988.0,1,3,1137.0,320000.0,Townhouse,124,37.0,Small
Rockville,MD,1999.0,2,2,1219.0,420000.0,Townhouse,84,26.0,Small
Potomac,MD,1972.0,3,3,2065.0,650000.0,Single-Family Home,36,53.0,Medium
Hyattsville,MD,1950.0,2,5,910.0,399900.0,Other,90,75.0,Small
Silver Spring,MD,2006.0,1,1,805.0,320000.0,Apartment/Condo,156,19.0,Small
Waldorf,MD,1993.0,2,3,2206.0,465000.0,Single-Family Home,112,32.0,Medium
Ashburn,VA,2013.0,3,4,3216.0,800000.0,Single-Family Home,104,12.0,Large
Manassas,VA,1973.0,2,3,1260.0,329900.0,Townhouse,97,52.0,Small
Lorton,VA,1989.0,1,2,960.0,325000.0,Apartment/Condo,28,36.0,Small
Alexandria,VA,1958.0,2,3,1760.0,659000.0,Single-Family Home,307,67.0,Medium
Gainesville,VA,1879.36,2,3,1885.0,593355.0,Single-Family Home,37,145.6400000000001,Medium
Upper Marlboro,MD,1972.0,2,3,1632.0,375000.0,Townhouse,124,53.0,Medium
Annandale,VA,2022.0,5,6,6172.0,1435000.0,Single-Family Home,46,3.0,Large
Annandale,VA,1966.0,2,4,1743.0,715000.0,Single-Family Home,46,59.0,Medium
Woodbridge,VA,1969.0,2,4,1846.0,350000.0,Single-Family Home,156,56.0,Medium
Hyattsville,MD,1948.0,2,3,1196.0,470000.0,Townhouse,90,77.0,Small
Arlington,VA,2017.0,2,3,2202.0,875000.0,Single-Family Home,262,8.0,Medium
Rockville,MD,1959.0,2,4,1458.0,599995.0,Townhouse,84,66.0,Medium
Ashburn,VA,2022.0,2,3,2150.0,627780.0,Single-Family Home,104,3.0,Medium
Centreville,VA,1985.0,3,3,1200.0,474990.0,Townhouse,30,40.0,Small
Falls Church,VA,1955.0,2,4,1196.0,1100000.0,Townhouse,76,70.0,Small
Arlington,VA,1989.0,1,1,641.0,324900.0,Apartment/Condo,262,36.0,Small
Waldorf,MD,1978.0,2,3,1544.0,354900.0,Townhouse,112,47.0,Medium
Bryans Road,MD,2018.0,3,4,3122.0,550000.0,Single-Family Home,11,7.0,Large
Bowie,MD,1963.0,2,4,2048.0,474900.0,Single-Family Home,110,62.0,Medium
Alexandria,VA,2023.0,1,1,984.0,899900.0,Apartment/Condo,307,2.0,Small
Arlington,VA,2009.0,2,1,1405.0,1085000.0,Other,262,16.0,Medium
Alexandria,VA,1988.0,2,2,833.0,330000.0,Apartment/Condo,307,37.0,Small
Fairfax,VA,2023.0,4,3,2738.0,979990.0,Single-Family Home,110,2.0,Large
Mclean,VA,1977.0,2,2,1339.0,439900.0,Townhouse,148,48.0,Medium
Arlington,VA,1983.0,1,2,1224.0,559900.0,Townhouse,262,42.0,Small
Gainesville,VA,1999.0,3,4,2126.0,470000.0,Single-Family Home,37,26.0,Medium
Chevy Chase,MD,2015.0,2,2,1081.0,795000.0,Townhouse,39,10.0,Small
Gainesville,VA,2013.0,2,4,3028.0,790000.0,Single-Family Home,37,12.0,Large
Bowie,MD,1993.0,3,4,3208.0,649999.0,Single-Family Home,110,32.0,Large
Gaithersburg,MD,2004.0,4,5,5781.0,1177700.0,Single-Family Home,94,21.0,Large
Waldorf,MD,1999.0,2,3,1690.0,424900.0,Townhouse,112,26.0,Medium
Springfield,VA,1995.0,2,4,2891.0,998500.0,Single-Family Home,52,30.0,Large
Brandywine,MD,1987.0,2,3,2326.0,525000.0,Single-Family Home,44,38.0,Medium
Sterling,VA,1986.0,2,2,2578.0,420000.0,Other,92,39.0,Large
Ashburn,VA,2013.0,2,2,1347.0,435000.0,Townhouse,104,12.0,Medium
Alexandria,VA,2022.0,1,1,771.0,599900.0,Apartment/Condo,307,3.0,Small
Silver Spring,MD,1963.0,2,5,2570.0,539000.0,Single-Family Home,156,62.0,Large
Fairfax,VA,1973.0,2,4,1555.0,735000.0,Townhouse,110,52.0,Medium
Mclean,VA,1975.0,2,2,1141.0,450000.0,Townhouse,148,50.0,Small
Bowie,MD,1972.0,2,3,1810.0,460000.0,Single-Family Home,110,53.0,Medium
Upper Marlboro,MD,1995.0,3,5,2522.0,573700.0,Single-Family Home,124,30.0,Large
Bristow,VA,2004.0,4,4,4831.0,849999.0,Single-Family Home,16,21.0,Large
Arlington,VA,1940.0,1,1,630.0,325000.0,Apartment/Condo,262,85.0,Small
Sterling,VA,1970.0,1,3,1200.0,379000.0,Townhouse,92,55.0,Small
Fairfax,VA,2022.0,2,2,1045.0,529180.0,Townhouse,110,3.0,Small
Silver Spring,MD,1958.0,2,4,1985.0,685000.0,Single-Family Home,156,67.0,Medium
Bryans Road,MD,2022.0,3,4,3128.0,554990.0,Single-Family Home,11,3.0,Large
Springfield,VA,1986.0,3,4,1713.0,579900.0,Single-Family Home,52,39.0,Medium
Upper Marlboro,MD,2016.0,2,3,2112.0,537000.0,Single-Family Home,124,9.0,Medium
Alexandria,VA,2022.0,2,2,1419.0,1456280.0000000007,Townhouse,307,3.0,Medium
Ellicott City,MD,1954.0,2,3,1394.0,549900.0,Townhouse,58,71.0,Medium
Springfield,VA,1968.0,2,4,2000.0,699000.0,Single-Family Home,52,57.0,Medium
Woodbridge,VA,1968.0,2,4,1784.0,455000.0,Single-Family Home,156,57.0,Medium
Woodbridge,VA,1990.0,2,3,1928.0,350000.0,Single-Family Home,156,35.0,Medium
Upper Marlboro,MD,1965.0,2,3,1640.0,349000.0,Townhouse,124,60.0,Medium
Brandywine,MD,1986.0,2,3,2237.0,427110.0,Single-Family Home,44,39.0,Medium
Waldorf,MD,1935.0,1,2,1850.0,380000.0,Other,112,90.0,Medium
Fairfax,VA,2022.0,2,2,1045.0,544180.0,Townhouse,110,3.0,Small
Waldorf,MD,1964.0,1,3,1595.0,315000.0,Townhouse,112,61.0,Medium
Fairfax,VA,2004.0,3,5,3941.0,1397500.0,Single-Family Home,110,21.0,Large
Bowie,MD,1966.0,2,4,1988.0,510000.0,Single-Family Home,110,59.0,Medium
Upper Marlboro,MD,1962.0,2,2,2244.0,400000.0,Other,124,63.0,Medium
Dumfries,VA,1977.0,2,4,1836.0,495000.0,Single-Family Home,49,48.0,Medium
Hyattsville,MD,1946.0,3,5,1260.0,397900.0,Other,90,79.0,Small
Waldorf,MD,1967.0,2,4,1914.0,369900.0,Single-Family Home,112,58.0,Medium
Waldorf,MD,1984.0,3,4,2520.0,419900.0,Single-Family Home,112,41.0,Medium
Waldorf,MD,2018.0,3,3,2163.0,417000.0,Single-Family Home,112,7.0,Medium
Alexandria,VA,2022.0,1,1,999.0,799900.0,Apartment/Condo,307,3.0,Small
Columbia,MD,1978.0,3,5,3696.0,604990.0,Single-Family Home,50,47.0,Large
Columbia,MD,2021.0,2,5,4857.0,1299000.0,Single-Family Home,50,4.0,Large
Gaithersburg,MD,1985.0,2,4,1464.0,450000.0,Townhouse,94,40.0,Medium
Columbia,MD,1992.0,2,4,2780.0,849990.0,Single-Family Home,50,33.0,Large
Upper Marlboro,MD,2006.0,5,4,5694.0,700000.0,Single-Family Home,124,19.0,Large
Upper Marlboro,MD,2010.0,4,5,4048.0,876000.0,Single-Family Home,124,15.0,Large
Upper Marlboro,MD,1973.0,2,4,1300.0,409990.0,Townhouse,124,52.0,Medium
Upper Marlboro,MD,1997.0,2,4,2080.0,429950.0,Single-Family Home,124,28.0,Medium
Suitland,MD,1983.0,2,3,1288.0,324999.0,Townhouse,15,42.0,Medium
Rockville,MD,2020.0,4,4,2451.0,729900.0,Single-Family Home,84,5.0,Medium
Hyattsville,MD,1940.0,2,4,2270.0,479500.0,Single-Family Home,90,85.0,Medium
District Heights,MD,1956.0,2,3,1053.0,388500.0,Townhouse,22,69.0,Small
College Park,MD,1950.0,1,3,1548.0,439000.0,Townhouse,11,75.0,Medium
Chevy Chase,MD,1933.0,3,3,1959.0,1456280.0000000007,Single-Family Home,39,92.0,Medium
Brandywine,MD,1967.0,2,3,1621.0,300000.0,Townhouse,44,58.0,Medium
Bowie,MD,1963.0,2,4,1872.0,523990.0,Single-Family Home,110,62.0,Medium
Hyattsville,MD,1955.0,1,3,1088.0,369000.0,Townhouse,90,70.0,Small
Hyattsville,MD,1975.0,3,4,1200.0,314000.0,Townhouse,90,50.0,Small
Hyattsville,MD,1960.0,1,3,918.0,305000.0,Other,90,65.0,Small
Bowie,MD,1928.0,3,6,1430.0,445000.0,Other,110,97.0,Medium
Bowie,MD,1986.0,3,5,2280.0,599000.0,Single-Family Home,110,39.0,Medium
Bethesda,MD,1965.0,3,5,3100.0,1095000.0,Single-Family Home,96,60.0,Large
Silver Spring,MD,1940.0,2,4,1010.0,389000.0,Townhouse,156,85.0,Small
Ellicott City,MD,1990.0,2,3,1210.0,314900.0,Townhouse,58,35.0,Small
Haymarket,VA,2022.0,2,2,1822.0,749990.0,Other,41,3.0,Medium
Dumfries,VA,2018.0,3,4,3485.0,725000.0,Single-Family Home,49,7.0,Large
Triangle,VA,2022.0,3,3,1548.0,429990.0,Townhouse,10,3.0,Medium
Mclean,VA,2008.0,2,2,1329.0,820000.0,Townhouse,148,17.0,Medium
Springfield,VA,2001.0,4,4,3572.0,1055000.0,Single-Family Home,52,24.0,Large
Woodbridge,VA,1957.0,2,4,1895.0,390000.0,Single-Family Home,156,68.0,Medium
Aldie,VA,2019.0,4,5,5183.0,1300000.0,Single-Family Home,39,6.0,Large
Leesburg,VA,2002.0,2,4,3158.0,870000.0,Single-Family Home,78,23.0,Large
Manassas,VA,1969.0,3,4,2136.0,549900.0,Single-Family Home,97,56.0,Medium
Alexandria,VA,2022.0,5,5,3545.0,1299000.0,Single-Family Home,307,3.0,Large
Gainesville,VA,1996.0,2,3,1800.0,419000.0,Single-Family Home,37,29.0,Medium
Sterling,VA,1986.0,2,3,1592.0,580000.0,Townhouse,92,39.0,Medium
Ashburn,VA,1988.0,3,2,1636.0,440000.0,Townhouse,104,37.0,Medium
Springfield,VA,2003.0,3,4,1640.0,599000.0,Townhouse,52,22.0,Medium
Lorton,VA,1974.0,3,4,1584.0,504999.0,Townhouse,28,51.0,Medium
Alexandria,VA,2021.0,2,3,2226.0,820540.0,Single-Family Home,307,4.0,Medium
Chantilly,VA,2005.0,3,4,1582.0,464000.0,Townhouse,39,20.0,Medium
Alexandria,VA,2022.0,2,2,2.0,663260.0,Apartment/Condo,307,3.0,Medium
Manassas,VA,1991.0,3,3,1910.0,399900.0,Single-Family Home,97,34.0,Medium
Arlington,VA,2003.0,2,2,1056.0,475000.0,Townhouse,262,22.0,Small
Manassas,VA,1975.0,2,4,1836.0,520000.0,Single-Family Home,97,50.0,Medium
Hyattsville,MD,2022.0,2,3,2201.0,534990.0,Single-Family Home,90,3.0,Medium
Hyattsville,MD,1956.0,2,4,1123.0,379000.0,Townhouse,90,69.0,Small
Gaithersburg,MD,1997.0,3,3,1886.0,425000.0,Single-Family Home,94,28.0,Medium
Reston,VA,1985.0,1,2,919.0,409900.0,Apartment/Condo,47,40.0,Small
Fairfax,VA,1991.0,4,4,5059.0,1299000.0,Single-Family Home,110,34.0,Large
Alexandria,VA,1967.0,1,3,1418.0,360000.0,Townhouse,307,58.0,Medium
Dumfries,VA,2023.0,2,3,2789.0,671990.0,Single-Family Home,49,2.0,Large
Brandywine,MD,2021.0,3,4,2180.0,485000.0,Single-Family Home,44,4.0,Medium
Bethesda,MD,1976.0,1,2,1750.0,775000.0,Other,96,49.0,Medium
Gaithersburg,MD,2022.0,3,3,2679.0,840000.0,Single-Family Home,94,3.0,Large
Alexandria,VA,2013.0,2,2,1025.0,648800.0,Townhouse,307,12.0,Small
Waldorf,MD,1879.36,2,4,2.0,529000.0,Other,112,145.6400000000001,Medium
Woodbridge,VA,2021.0,2,3,1600.0,439990.0,Townhouse,156,4.0,Medium
Alexandria,VA,2022.0,2,1,993.0,772000.0,Apartment/Condo,307,3.0,Small
Manassas,VA,2000.0,3,4,1982.0,419900.0,Single-Family Home,97,25.0,Medium
Chevy Chase,MD,1982.0,3,2,1917.0,885000.0,Other,39,43.0,Medium
Brandywine,MD,2006.0,3,5,4068.0,669000.0,Single-Family Home,44,19.0,Large
Laurel,MD,2023.0,2,3,2239.0,491990.0,Single-Family Home,65,2.0,Medium
Alexandria,VA,2022.0,1,1,749.0,559900.0,Apartment/Condo,307,3.0,Small
Woodbridge,VA,1989.0,2,4,1782.0,400000.0,Single-Family Home,156,36.0,Medium
Upper Marlboro,MD,2017.0,3,3,3160.0,505000.0,Single-Family Home,124,8.0,Large
Arlington,VA,1954.0,1,2,967.0,315000.0,Apartment/Condo,262,71.0,Small
Manassas,VA,1963.0,3,3,2126.0,495000.0,Single-Family Home,97,62.0,Medium
Silver Spring,MD,1983.0,3,4,1860.0,475000.0,Single-Family Home,156,42.0,Medium
Haymarket,VA,2004.0,5,6,6821.0,1300000.0,Single-Family Home,41,21.0,Large
Triangle,VA,2007.0,5,6,5655.0,699999.0,Single-Family Home,10,18.0,Large
Arlington,VA,1976.0,3,3,2512.0,1075000.0,Single-Family Home,262,49.0,Medium
Dumfries,VA,2022.0,2,3,1606.0,464990.0,Townhouse,49,3.0,Medium
Vienna,VA,2005.0,2,2,1166.0,519900.0,Townhouse,79,20.0,Small
Silver Spring,MD,1953.0,1,3,994.0,320000.0,Other,156,72.0,Small
Ashburn,VA,2000.0,2,3,1509.0,474900.0,Townhouse,104,25.0,Medium
College Park,MD,1948.0,2,4,1632.0,419900.0,Townhouse,11,77.0,Medium
Columbia,MD,2022.0,2,3,1989.0,549990.0,Single-Family Home,50,3.0,Medium
Alexandria,VA,1990.0,2,2,1130.0,419950.0,Townhouse,307,35.0,Small
Silver Spring,MD,1940.0,2,4,1010.0,389000.0,Townhouse,156,85.0,Small
Takoma Park,MD,1955.0,2,4,2028.0,549999.0,Single-Family Home,16,70.0,Medium
Arlington,VA,1974.0,2,2,1500.0,650000.0,Townhouse,262,51.0,Medium
Silver Spring,MD,1983.0,2,3,1368.0,410000.0,Townhouse,156,42.0,Medium
Laurel,MD,1935.0,2,4,3120.0,675000.0,Single-Family Home,65,90.0,Large
Ellicott City,MD,2022.0,2,3,2376.0,674980.0,Single-Family Home,58,3.0,Medium
Ellicott City,MD,2022.0,2,3,2000.0,624990.0,Single-Family Home,58,3.0,Medium
Silver Spring,MD,1989.0,4,5,5234.0,851000.0,Single-Family Home,156,36.0,Large
Silver Spring,MD,1925.0,1,2,1223.0,439900.0,Townhouse,156,100.0,Small
Leesburg,VA,1879.36,1,2,1520.0,759000.0,Townhouse,78,145.6400000000001,Medium
Gainesville,VA,2022.0,5,6,4412.0,1375000.0,Single-Family Home,37,3.0,Large
Rockville,MD,2021.0,3,3,2260.0,1150000.0,Single-Family Home,84,4.0,Medium
Woodbridge,VA,1985.0,3,4,3641.0,640000.0,Single-Family Home,156,40.0,Large
Middle River,MD,1931.0,3,5,3512.0,699950.0,Single-Family Home,21,94.0,Large
Ashburn,VA,1992.0,2,3,1640.0,549000.0,Townhouse,104,33.0,Medium
Laurel,MD,2023.0,2,3,2239.0,503685.0,Single-Family Home,65,2.0,Medium
Alexandria,VA,1970.0,2,3,1310.0,312000.0,Townhouse,307,55.0,Medium
Gaithersburg,MD,1983.0,3,4,3392.0,649999.0,Single-Family Home,94,42.0,Large
Bowie,MD,1983.0,2,3,2032.0,414000.0,Single-Family Home,110,42.0,Medium
Waldorf,MD,2008.0,3,4,2680.0,529900.0,Single-Family Home,112,17.0,Large
Hyattsville,MD,1923.0,2,4,2040.0,475000.0,Single-Family Home,90,102.0,Medium
Ashburn,VA,2023.0,2,3,2157.0,619990.0,Single-Family Home,104,2.0,Medium
Rockville,MD,2016.0,3,3,1734.0,790000.0,Single-Family Home,84,9.0,Medium
Baltimore,MD,2002.0,3,3,2628.0,324900.0,Single-Family Home,497,23.0,Large
Reston,VA,2005.0,2,2,1161.0,474999.0,Townhouse,47,20.0,Small
Upper Marlboro,MD,2020.0,2,3,2600.0,435000.0,Single-Family Home,124,5.0,Large
Waldorf,MD,1991.0,3,4,2200.0,359993.0,Single-Family Home,112,34.0,Medium
Hyattsville,MD,1947.0,2,4,1070.0,385000.0,Townhouse,90,78.0,Small
Cockeysville,MD,2022.0,2,3,2687.0,605000.0,Single-Family Home,9,3.0,Large
Owings Mills,MD,1996.0,2,4,1996.0,420900.0,Single-Family Home,18,29.0,Medium
Leesburg,VA,2017.0,4,5,5348.0,1295000.0,Single-Family Home,78,8.0,Large
Dumfries,VA,1977.0,2,4,1836.0,495000.0,Single-Family Home,49,48.0,Medium
Leesburg,VA,1992.0,3,5,2890.0,774000.0,Single-Family Home,78,33.0,Large
Bowie,MD,1986.0,3,5,2280.0,599000.0,Single-Family Home,110,39.0,Medium
